OMSI Index,48,,,,,,,,,,,,,,,,
Block Order,,,,,,,,,,,,,,,,,
2,3,1,4,0,5,,,,,,,,,,,,
Pattern Order in Blocks,,,,,,,,,,,,,,,,,
0,1,5,2,4,3,4,5,3,0,2,1,0,1,5,2,4,3
1,2,0,3,5,4,5,0,4,1,3,2,1,2,0,3,5,4
2,3,1,4,0,5,0,1,5,2,4,3,2,3,1,4,0,5
3,4,2,5,1,0,1,2,0,3,5,4,3,4,2,5,1,0
4,5,3,0,2,1,2,3,1,4,0,5,4,5,3,0,2,1
5,0,4,1,3,2,3,4,2,5,1,0,5,0,4,1,3,2
Choice - Block 0,,,,,,,,,,,,,,,,,
6,5,5,,,,,,,,,,,,,,,
1,2,2,,,,,,,,,,,,,,,
3,4,3,,,,,,,,,,,,,,,
6,5,1,,,,,,,,,,,,,,,
5,5,4,,,,,,,,,,,,,,,
4,6,6,,,,,,,,,,,,,,,
Choice - Block 1,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,
1,1,2,,,,,,,,,,,,,,,
3,3,4,,,,,,,,,,,,,,,
4,4,1,,,,,,,,,,,,,,,
5,5,5,,,,,,,,,,,,,,,
5,6,6,,,,,,,,,,,,,,,
Choice - Block 2,,,,,,,,,,,,,,,,,
1,2,1,,,,,,,,,,,,,,,
2,2,2,,,,,,,,,,,,,,,
5,5,3,,,,,,,,,,,,,,,
6,6,6,,,,,,,,,,,,,,,
5,5,3,,,,,,,,,,,,,,,
6,3,1,,,,,,,,,,,,,,,
Choice - Block 3,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,
3,3,3,,,,,,,,,,,,,,,
4,4,4,,,,,,,,,,,,,,,
5,5,5,,,,,,,,,,,,,,,
6,6,6,,,,,,,,,,,,,,,
Choice - Block 4,,,,,,,,,,,,,,,,,
3,1,1,,,,,,,,,,,,,,,
2,2,2,,,,,,,,,,,,,,,
3,5,3,,,,,,,,,,,,,,,
4,4,4,,,,,,,,,,,,,,,
1,1,6,,,,,,,,,,,,,,,
1,2,1,,,,,,,,,,,,,,,
Choice - Block 5,,,,,,,,,,,,,,,,,
2,1,1,,,,,,,,,,,,,,,
2,2,2,,,,,,,,,,,,,,,
3,3,3,,,,,,,,,,,,,,,
4,4,4,,,,,,,,,,,,,,,
5,5,5,,,,,,,,,,,,,,,
6,6,6,,,,,,,,,,,,,,,
Confidence - Block 0,,,,,,,,,,,,,,,,,
40,51,58,,,,,,,,,,,,,,,
80,71,87,,,,,,,,,,,,,,,
71,45,84,,,,,,,,,,,,,,,
83,49,63,,,,,,,,,,,,,,,
68,74,56,,,,,,,,,,,,,,,
54,76,75,,,,,,,,,,,,,,,
Confidence - Block 1,,,,,,,,,,,,,,,,,
93,85,84,,,,,,,,,,,,,,,
89,77,96,,,,,,,,,,,,,,,
93,88,79,,,,,,,,,,,,,,,
53,41,82,,,,,,,,,,,,,,,
100,100,100,,,,,,,,,,,,,,,
100,100,100,,,,,,,,,,,,,,,
Confidence - Block 2,,,,,,,,,,,,,,,,,
71,52,88,,,,,,,,,,,,,,,
90,83,88,,,,,,,,,,,,,,,
69,64,41,,,,,,,,,,,,,,,
84,49,70,,,,,,,,,,,,,,,
49,69,54,,,,,,,,,,,,,,,
85,69,69,,,,,,,,,,,,,,,
Confidence - Block 3,,,,,,,,,,,,,,,,,
94,89,94,,,,,,,,,,,,,,,
97,95,94,,,,,,,,,,,,,,,
83,80,92,,,,,,,,,,,,,,,
97,96,100,,,,,,,,,,,,,,,
89,89,100,,,,,,,,,,,,,,,
87,97,98,,,,,,,,,,,,,,,
Confidence - Block 4,,,,,,,,,,,,,,,,,
75,69,49,,,,,,,,,,,,,,,
84,90,91,,,,,,,,,,,,,,,
100,67,77,,,,,,,,,,,,,,,
100,100,100,,,,,,,,,,,,,,,
64,83,86,,,,,,,,,,,,,,,
90,90,65,,,,,,,,,,,,,,,
Confidence - Block 5,,,,,,,,,,,,,,,,,
67,100,100,,,,,,,,,,,,,,,
100,100,100,,,,,,,,,,,,,,,
100,100,100,,,,,,,,,,,,,,,
100,100,100,,,,,,,,,,,,,,,
100,100,100,,,,,,,,,,,,,,,
97,100,100,,,,,,,,,,,,,,,
Response Time - Block 0,,,,,,,,,,,,,,,,,
5.01002,2.96,0.989999,,,,,,,,,,,,,,,
1.17,1.35,1.6,,,,,,,,,,,,,,,
0.53,4.76001,0.78,,,,,,,,,,,,,,,
1.43,10.9502,0.75,,,,,,,,,,,,,,,
0.71,1.1,11.6502,,,,,,,,,,,,,,,
7.44008,2.56,3.75,,,,,,,,,,,,,,,
Response Time - Block 1,,,,,,,,,,,,,,,,,
4.83002,1.25,0.989999,,,,,,,,,,,,,,,
2.77,9.75013,0.75,,,,,,,,,,,,,,,
1.81,2.73,5.95004,,,,,,,,,,,,,,,
20.2504,11.0602,4.89002,,,,,,,,,,,,,,,
0.859999,0.939999,1.38,,,,,,,,,,,,,,,
3.93,0.69,0.949999,,,,,,,,,,,,,,,
Response Time - Block 2,,,,,,,,,,,,,,,,,
2.96,12.2302,1.03,,,,,,,,,,,,,,,
1.19,0.81,1.1,,,,,,,,,,,,,,,
7.47008,19.4503,14.8502,,,,,,,,,,,,,,,
7.55008,11.8102,11.8602,,,,,,,,,,,,,,,
8.92011,1.14,5.02002,,,,,,,,,,,,,,,
1.74,2.98,4.22,,,,,,,,,,,,,,,
Response Time - Block 3,,,,,,,,,,,,,,,,,
1.83,1.19,1.93,,,,,,,,,,,,,,,
1.08,1.25,3.83,,,,,,,,,,,,,,,
1.08,3.13,7.43008,,,,,,,,,,,,,,,
1.57,1.08,1.74,,,,,,,,,,,,,,,
1.24,1.17,1.06,,,,,,,,,,,,,,,
1.14,0.899999,1.01,,,,,,,,,,,,,,,
Response Time - Block 4,,,,,,,,,,,,,,,,,
1.49,1.14,11.0302,,,,,,,,,,,,,,,
5.72004,5.60003,1.28,,,,,,,,,,,,,,,
0.72,7.69008,2.62,,,,,,,,,,,,,,,
1.84,0.73,1.26,,,,,,,,,,,,,,,
3.13,1.37,3.49,,,,,,,,,,,,,,,
10.6601,0.8,2.98,,,,,,,,,,,,,,,
Response Time - Block 5,,,,,,,,,,,,,,,,,
2.37,0.83,0.949999,,,,,,,,,,,,,,,
1.16,0.81,0.82,,,,,,,,,,,,,,,
0.969999,0.939999,0.919999,,,,,,,,,,,,,,,
1.22,0.999999,1.27,,,,,,,,,,,,,,,
1.81,0.919999,0.949999,,,,,,,,,,,,,,,
0.78,0.8,0.909999,,,,,,,,,,,,,,,
