OMSI Index,91,
Block Order,
2,3,1,4,0,5,,
Pattern Order in Blocks,
0,1,5,2,4,3,4,5,3,0,2,1,0,1,5,2,4,3,,
1,2,0,3,5,4,5,0,4,1,3,2,1,2,0,3,5,4,,
2,3,1,4,0,5,0,1,5,2,4,3,2,3,1,4,0,5,,
3,4,2,5,1,0,1,2,0,3,5,4,3,4,2,5,1,0,,
4,5,3,0,2,1,2,3,1,4,0,5,4,5,3,0,2,1,,
5,0,4,1,3,2,3,4,2,5,1,0,5,0,4,1,3,2,,
Choice - Block 0,
1,3,5,,
1,1,1,,
4,3,4,,
6,2,5,,
5,4,4,,
1,6,6,,
Choice - Block 1,
1,1,4,,
1,1,6,,
3,3,5,,
1,1,4,,
5,3,5,,
6,6,6,,
Choice - Block 2,
1,2,1,,
2,2,2,,
3,3,3,,
6,5,6,,
3,4,5,,
1,1,1,,
Choice - Block 3,
1,5,1,,
1,1,1,,
6,4,3,,
4,4,4,,
5,4,5,,
3,6,6,,
Choice - Block 4,
6,1,6,,
2,6,2,,
3,3,3,,
4,4,4,,
2,5,5,,
2,5,6,,
Choice - Block 5,
2,1,6,,
2,2,2,,
3,6,3,,
4,4,4,,
4,5,5,,
6,6,6,,
Confidence - Block 0,
85,26,3,,
48,6,6,,
45,58,26,,
9,18,18,,
36,29,23,,
9,10,6,,
Confidence - Block 1,
60,60,39,,
49,73,5,,
62,48,42,,
34,54,27,,
40,35,49,,
27,25,39,,
Confidence - Block 2,
95,47,95,,
96,91,77,,
48,32,70,,
45,27,40,,
19,34,11,,
57,67,77,,
Confidence - Block 3,
70,20,56,,
60,61,89,,
45,42,34,,
50,38,53,,
61,32,21,,
7,33,69,,
Confidence - Block 4,
26,47,27,,
86,19,63,,
26,67,47,,
51,73,53,,
43,35,26,,
73,38,21,,
Confidence - Block 5,
43,45,17,,
64,70,79,,
56,2,59,,
55,40,66,,
48,42,28,,
56,19,62,,
Response Time - Block 0,
1.29,6.19005,15.3403,,
1.09,10.4201,3.72,,
7.69008,1.27,9.12011,,
2.74,3.34,11.5402,,
1.31,5.66003,15.5703,,
7.99009,7.13007,15.3303,,
Response Time - Block 1,
1.24,1.02,2.16,,
2.51,1.75,5.33003,,
1.54,3.84,9.49012,,
2.99,4.86002,6.90006,,
10.3801,8.29009,4.1,,
27.1205,20.4304,5.78004,,
Response Time - Block 2,
1.81,1.86,1.45,,
1.22,1.62,2.56,,
4.1,15.9403,7.97009,,
22.5804,6.37005,3.79,,
12.9002,9.70013,15.5003,,
7.39007,1.21,5.56003,,
Response Time - Block 3,
3.73,12.2402,3.05,,
4.17,4.38001,1.2,,
2.64,6.43005,3.38,,
10.5401,7.58008,19.2903,,
8.6401,7.13007,11.6002,,
24.2105,8.5501,11.5402,,
Response Time - Block 4,
23.0704,2.05,13.2602,,
1.5,18.8203,1.54,,
20.8804,4.92002,2.35,,
4.94002,1.75,12.5102,,
7.62008,5.66003,17.7603,,
1.2,6.50005,13.8902,,
Response Time - Block 5,
6.22005,10.1001,14.7102,,
1.2,1.68,1.04,,
1.97,33.8703,1.22,,
1.26,6.82006,0.959999,,
1.27,6.02004,9.40012,,
10.9102,10.3901,3.1,,
